メーカー ,車種 ,グレード ,発売期間,型式,駆動方式,乗車定員,ドア枚数,エンジン型式,エンジン種類,エンジン区分,環境対策エンジン,総排気量(cc),過給器,最高出力/回転数(ps/rpm),最大トルク/回転数(kg・m/rpm),ホイールベース(mm),車両重量(kg),最低地上高(mm),最小回転半径(m),サスペンション形式前,サスペンション形式後,ブレーキ形式前,ブレーキ形式後,前タイヤ,後タイヤ,使用燃料,燃料タンク容量(L),JC08モード燃費(km/L),オートエアコン,エアフィルター,パワーウインドウ,シートリフター,フロントベンチシート,2列目シート,UVカットガラス,プライバシーガラス,アルミホイール,両側電動スライドドア,リアスポイラー,フロントフォグランプ,スピーカ数,ETC,運転席エアバッグ,助手席エアバッグ,サイドエアバッグ,カーテンエアバッグ,頸部衝撃緩和ヘッドレスト,EBD付ABS,クルーズコントロール,ESC（横滑り防止装置）,トラクションコントロール,ISOFIX対応チャイルドシート固定バー,パワーステアリング,盗難防止装置,セキュリティアラーム,キーレスエントリー,マニュアルモード,チップアップシート,ドアイージークローザー,アイドリングストップシステム,衝突軽減装置,レーンアシスト,車間距離自動制御システム,バックモニター,エンジンスタートボタン,前席シートヒーター,床下ラゲージボックス,オーディオソース_CD,オーディオソース_DVD,オーディオソース_AM/FMラジオ,ブレーキアシスト,駐車支援システム,防水加工,地上波デジタルテレビチューナー,ソナー,フロントモニター,サイドモニター,ダウンヒルアシストコントロール,その他ナビゲーション,寒冷地仕様,インテリジェントAFS,運転席パワーシート,本革シート,AC電源,ステアリングヒーター,リアフォグランプ,テレマティクスサービス,高級サウンドシステム,レインセンサー,インテリジェントパーキングアシスト,エマージェンシーサービス,フロント両席パワーシート,サンルーフ,オーディオソース_HDD,ニーエアバッグ,シートポジションメモリー機能,ヘッドライトウォッシャー,後退時連動式ドアミラー,VGS/VGRS,10-15モード燃費(km/L),フロントスポイラー,ディスチャージヘッドライト,オーディオソース_カセット,ABS,バケットシート,高性能ブレーキ,LSD,4WS,後席シートヒーター,2列目ウォークスルー,3列目シート,オットマン機構,電動バックドア,リアエンターテイメントシステム,電気式4WD,AI-SHIFT,助手席ウォークスルー,大型ガラスルーフ,ルーフレール,HDDナビゲーション,ランフラットタイヤ,可変気筒装置,AYC(アクティブ・ヨー・コントロール),全長,全幅,全高,室内全長,室内全幅,室内全高,img1,img2,img3,"乗り心地判定(1:良い,2:その他)",フルフラットシート,マニュアルエアコン,両側スライドドア,抗菌仕様,ローダウン,ナイトビジョン,高性能サスペンション,片側スライドドア,ソフトトップ,メタルトップ,空気清浄機,エアサスペンション,センターデフロック,ハードトップ,キャンバストップ
ホンダ,N-BOX,カスタム 660 G L ターボ ホンダセンシング 4WD,2017年09月～2019年09月,DBA-JF2,4WD,4人,5ドア,S07B,直列3気筒DOHC,ガソリン,H17☆☆☆☆,658cc,ターボ,64ps/6000rpm,10.6kg・m/2600rpm,2520mm,990kg,145mm,4.7m,ストラット式,ド・ディオン式,Vディスク式,ドラム式,165/55R15,165/55R15,レギュラー,25L,23km/L,○,○,○,○,○,分割可倒,○,○,○,○,○,○,○(8),○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3395mm,1475mm,1790mm,2240mm,1350mm,1400mm,http://img.carsensorlab.net/CSphoto/catalog/HO/S094/HO_S094_F002_M001_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/HO/S094/HO_S094_F002_M001_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/HO/S094/HO_S094_F002_M001_3_L.jpg,1,,,,,,,,,,,,,,,
スズキ,ハスラー,660 ハイブリッド Xターボ 4WD,2019年12月～,4AA-MR52S,4WD,4人,5ドア,R06A,直列3気筒DOHC,ハイブリッド,H30☆☆☆,658cc,ターボ,64ps/6000rpm,10kg・m/3000rpm,2460mm,880kg,180mm,4.6m,ストラット式,アイソレーテッド・トレーリング・リンク式,Vディスク式,ドラム式,165/60R15,165/60R15,レギュラー,27L,,○,,○,○,,分割可倒,○,○,○,,,○,○(6),,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,○,○,○,○,△,○,○,○,△,△,△,○,△,○,△,○,△,△,○,△,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3395mm,1475mm,1680mm,2215mm,1330mm,1270mm,http://img.carsensorlab.net/CSphoto/catalog/SZ/S050/SZ_S050_F002_M001_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/SZ/S050/SZ_S050_F002_M001_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/SZ/S050/SZ_S050_F002_M001_3_L.jpg,1,,,,,,,,,,,,,,,
ダイハツ,ムーヴキャンバス,660 G メイクアップ リミテッド SAIII 4WD,2018年09月～2019年09月,5BA-LA810S,4WD,4人,5ドア,KF,直列3気筒DOHC,ガソリン,H30☆☆☆☆,658cc,,52ps/6800rpm,6.1kg・m/5200rpm,2455mm,970kg,145mm,4.4m,ストラット式,3リンク式,Vディスク式,ドラム式,155/65R14,155/65R14,レギュラー,30L,27.4km/L,○,○,○,○,○,分割可倒,○,○,,○,,○,○(6),,○,○,○,,,○,,○,○,○,○,○,○,○,,,○,○,○,○,,○,○,△,○,,,,,,,,,○,○,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3395mm,1475mm,1655mm,2115mm,1345mm,1285mm,http://img.carsensorlab.net/CSphoto/catalog/DA/S073/DA_S073_F001_M003_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/DA/S073/DA_S073_F001_M003_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/DA/S073/DA_S073_F001_M003_3_L.jpg,1,,,,,,,,,,,,,,,
トヨタ,プリウスPHV,1.8 A プレミアム ナビパッケージ,2019年05月～2019年09月,DLA-ZVW52,FF,5人,5ドア,2ZR-FXE,直列4気筒DOHC,ハイブリッド,H17☆☆☆☆,1797cc,,98ps/5200rpm,14.5kg・m/3600rpm,2700mm,1530kg,130mm,5.1m,ストラット式,ダブルウィッシュボーン,Vディスク式,ディスク式,195/65R15,195/65R15,レギュラー,43L,37.2km/L,○,○,○,○,,分割可倒,○,○,○,,○,○,○(6),○,○,○,○,○,,○,○,○,○,○,○,○,○,○,,,,○,○,○,○,○,○,○,○,,,○,○,○,,○,○,○,○,,○,△,,○,○,△,○,△,○,△,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4645mm,1760mm,1470mm,2110mm,1490mm,1195mm,http://img.carsensorlab.net/CSphoto/catalog/TO/S225/TO_S225_F002_M002_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S225/TO_S225_F002_M002_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S225/TO_S225_F002_M002_3_L.jpg,1,,,,,,,,,,,,,,,
ホンダ,フィット,1.5 e:HEV ホーム 4WD,2020年02月～,6AA-GR4,4WD,5人,5ドア,LEB,直列4気筒DOHC,ハイブリッド,H30☆☆☆☆☆,1496cc,,98ps/6400rpm,13kg・m/5000rpm,2530mm,1260kg,150mm,4.9m,ストラット式,ド・ディオン式,Vディスク式,ディスク式,185/60R15,185/60R15,レギュラー,40L,30.8km/L,○,○,○,○,,分割可倒,○,○,△,,,,○(2),,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,,○,○,○,○,△,○,,○,,,,,,,,○,,,,,,,,,,,,△,,,,△,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3995mm,1695mm,1540mm,1955mm,1445mm,1260mm,http://img.carsensorlab.net/CSphoto/catalog/HO/S028/HO_S028_F004_M001_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/HO/S028/HO_S028_F004_M001_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/HO/S028/HO_S028_F004_M001_3_L.jpg,1,,,,,,,,,,,,,,,
日産,ノート,1.2 e-POWER NISMO S,2018年09月～2019年09月,DAA-HE12,FF,5人,5ドア,HR12DE,直列3気筒DOHC,ハイブリッド,H17☆☆☆☆,1198cc,,83ps/6000rpm,10.5kg・m/5200rpm,2600mm,1250kg,130mm,5.2m,ストラット式,トーションビーム式,Vディスク式,ドラム式,195/55R16,195/55R16,レギュラー,41L,,○,,○,○,,分割可倒,○,○,○,,,,○(2),,○,○,,,,○,△,○,○,○,○,○,,○,,,,○,○,○,△,△,○,,,,,,○,△,,,○,△,△,,,△,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4165mm,1695mm,1535mm,2065mm,1390mm,1255mm,http://img.carsensorlab.net/CSphoto/catalog/NI/S008/NI_S008_F002_M009_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/NI/S008/NI_S008_F002_M009_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/NI/S008/NI_S008_F002_M009_3_L.jpg,1,,,,,,,,,,,,,,,
トヨタ,クラウン,ハイブリッド 3.5 RS アドバンス,2020年04月～2020年10月,6AA-GWS224,FR,5人,4ドア,8GR-FXS,V型6気筒DOHC,ハイブリッド,H30☆☆☆☆☆,3456cc,,299ps/6600rpm,36.3kg・m/5100rpm,2920mm,1870kg,135mm,5.5m,マルチリンク式,マルチリンク式,Vディスク式,Vディスク式,225/45R18,225/45R18,ハイオク,66L,18km/L,○,○,○,○,,固定,○,○,○,,○,○,○(10),○,○,○,○,○,,○,○,○,○,○,○,○,○,○,○,,,○,○,○,○,○,○,○,,○,○,○,,○,,○,○,△,△,,○,△,,○,△,○,○,△,○,,○,△,○,○,△,○,○,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,4910mm,1800mm,1455mm,1980mm,1500mm,1185mm,http://img.carsensorlab.net/CSphoto/catalog/TO/S055/TO_S055_F004_M003_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S055/TO_S055_F004_M003_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S055/TO_S055_F004_M003_3_L.jpg,1,,,,,,,,,,,,,,,
日産,スカイラインGT-R,2.6 4WD,1997年02月～1998年12月,E-BCNR33,4WD,4人,2ドア,RB26DETT,直列6気筒DOHC,ガソリン,,2568cc,ターボ,280ps/6800rpm,37.5kg・m/4400rpm,2720mm,1530kg,145mm,5.7m,マルチリンク式,マルチリンク式,Vディスク式,Vディスク式,245/45ZR17,245/45ZR17,ハイオク,65L,,○,,○,○,,固定,△,,○,,○,,○(4),,○,○,,,,,,,,,○,,,,,,,,,,,,,,,△,,○,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,8.1km/L,○,○,○,○,○,○,○,○,,,,,,,,,,,,,,,,4675mm,1780mm,1360mm,1820mm,1415mm,1090mm,http://img.carsensorlab.net/CSphoto/catalog/NI/S054/NI_S054_F002_M003_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/NI/S054/NI_S054_F002_M003_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/NI/S054/NI_S054_F002_M003_3_L.jpg,1,,,,,,,,,,,,,,,
マツダ,MAZDA6セダン,2.2 XD Lパッケージ ディーゼルターボ 4WD,2019年08月～2019年09月,3DA-GJ2AP,4WD,5人,4ドア,SH-VPTR,直列4気筒DOHC,ディーゼル,,2188cc,ターボ,190ps/4500rpm,45.9kg・m/2000rpm,2830mm,1670kg,160mm,5.6m,ストラット式,マルチリンク式,Vディスク式,ディスク式,225/45R19,225/45R19,軽油,52L,,○,○,○,○,,分割可倒,○,○,○,,,,○(11),,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,,,○,○,○,○,○,○,○,,△,△,○,○,○,,△,○,△,△,,,○,○,○,○,,○,○,,○,○,,,○,△,,,○,○,,,,,,,,,,,,○,,,,,,,,,,,,,,,4865mm,1840mm,1450mm,1960mm,1550mm,1170mm,http://img.carsensorlab.net/CSphoto/catalog/MA/S098/MA_S098_F001_M001_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/MA/S098/MA_S098_F001_M001_2_L.jpg,,1,,,,,,,,,,,,,,,
トヨタ,アルファード,ハイブリッド 2.5 エグゼクティブ ラウンジ S 4WD,2017年12月～2018年09月,DAA-AYH30W,4WD,7人,5ドア,2AR-FXE,直列4気筒DOHC,ハイブリッド,H17☆☆☆☆,2493cc,,152ps/5700rpm,21kg・m/4800rpm,3000mm,2240kg,165mm,5.6m,ストラット式,ダブルウィッシュボーン,Vディスク式,Vディスク式,225/60R17,225/60R17,レギュラー,65L,18.4km/L,○,○,○,○,,固定,○,○,○,○,○,○,○(17),○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,,○,△,,○,○,○,○,△,○,○,○,,○,○,△,○,○,○,,○,,,○,,,,,,,,○,可,分割可倒,○,○,○,○,,,,,,,,,4950mm,1850mm,1950mm,3210mm,1590mm,1400mm,http://img.carsensorlab.net/CSphoto/catalog/TO/S009/TO_S009_F003_M002_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S009/TO_S009_F003_M002_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S009/TO_S009_F003_M002_3_L.jpg,1,,,,,,,,,,,,,,,
トヨタ,ヴェルファイア,3.5 エグゼクティブラウンジ Z,2019年12月～,3BA-GGH30W,FF,7人,5ドア,2GR-FKS,V型6気筒DOHC,ガソリン,,3456cc,,301ps/6600rpm,36.8kg・m/4700rpm,3000mm,2150kg,160mm,5.8m,ストラット式,ダブルウィッシュボーン,Vディスク式,Vディスク式,225/60R17,225/60R17,ハイオク,75L,,○,○,○,○,,固定,○,○,○,○,○,○,○(17),○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,○,○,○,○,,○,△,,○,○,○,○,△,○,○,○,○,○,○,△,○,○,○,,○,,,○,,,,,,,,○,可,分割可倒,○,○,○,,○,,,,,,,,4935mm,1850mm,1935mm,3210mm,1590mm,1400mm,http://img.carsensorlab.net/CSphoto/catalog/TO/S200/TO_S200_F002_M005_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S200/TO_S200_F002_M005_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S200/TO_S200_F002_M005_3_L.jpg,1,,,,,,,,,,,,,,,
日産,セレナ,2.0 ハイウェイスター V,2019年10月～2020年07月,DAA-GFC27,FF,8人,5ドア,MR20DD,直列4気筒DOHC,ハイブリッド,H17☆☆☆☆,1997cc,,150ps/6000rpm,20.4kg・m/4400rpm,2860mm,1710kg,160mm,5.7m,ストラット式,トーションビーム式,Vディスク式,ディスク式,195/60R16,195/60R16,レギュラー,55L,16.6km/L,○,○,○,○,,固定,○,○,○,○,○,○,○(6),,○,○,△,△,,○,○,○,○,○,○,○,,○,,,○,○,○,○,△,△,○,△,○,,,,○,△,△,,○,△,△,,,△,,,,,△,,,,,△,,,,,,,,,,,○,,,,,,,,,可,分割可倒,,,,,,可,,,,,,,4770mm,1740mm,1865mm,3240mm,1545mm,1400mm,http://img.carsensorlab.net/CSphoto/catalog/NI/S012/NI_S012_F005_M006_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/NI/S012/NI_S012_F005_M006_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/NI/S012/NI_S012_F005_M006_3_L.jpg,1,,,,,,,,,,,,,,,
トヨタ,ハリアー,2.0 Z,2020年06月～,6BA-MXUA80,FF,5人,5ドア,M20A-FKS,直列4気筒DOHC,ガソリン,H30☆☆☆☆☆,1986cc,,171ps/6600rpm,21.1kg・m/4800rpm,2690mm,1590kg,195mm,5.7m,ストラット式,マルチリンク式,Vディスク式,ディスク式,225/55R19,225/55R19,レギュラー,55L,,○,○,○,○,,分割可倒,○,○,○,,○,○,○(9),○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,○,,,○,○,○,○,○,○,,○,,,○,○,○,,○,○,△,△,,○,△,,○,,△,,△,○,○,○,,○,,△,,○,,,,,,,,,,,,,,,,,,○,,,,,△,,,,,,4740mm,1855mm,1660mm,1880mm,1520mm,1215mm,http://img.carsensorlab.net/CSphoto/catalog/TO/S114/TO_S114_F004_M001_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S114/TO_S114_F004_M001_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/TO/S114/TO_S114_F004_M001_3_L.jpg,1,,,,,,,,,,,,,,,
スバル,フォレスター,2.0 アドバンス 4WD,2019年10月～,5AA-SKE,4WD,5人,5ドア,FB20,水平対抗4気筒DOHC,ハイブリッド,H30☆☆☆,1995cc,,145ps/6000rpm,19.2kg・m/4000rpm,2670mm,1640kg,220mm,5.4m,ストラット式,マルチリンク式,Vディスク式,Vディスク式,225/55R18,225/55R18,レギュラー,48L,18.6km/L,○,,○,○,,分割可倒,○,○,○,,○,○,○(6),,○,○,○,○,,○,○,○,○,○,○,○,○,○,○,,,○,○,○,○,△,○,○,○,,,,○,,,,,△,○,○,,,○,○,△,,○,○,,,○,,,○,△,,○,○,○,○,,,,,,,,,,,○,,,,△,,,,,,△,,,,,4625mm,1815mm,1715mm,2100mm,1545mm,1270mm,http://img.carsensorlab.net/CSphoto/catalog/SB/S011/SB_S011_F005_M003_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/SB/S011/SB_S011_F005_M003_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/SB/S011/SB_S011_F005_M003_3_L.jpg,1,,,,,,,,,,,,,,,
フォルクスワーゲン,ポロ,GTI,2020年03月～2020年04月,ABA-AWCZP,FF,5人,5ドア,CZP,直列4気筒DOHC,ガソリン,,1984cc,ターボ,200ps/6000rpm,32.6kg・m/4350rpm,2550mm,1290kg,130mm,5.1m,ストラット式,トレーリングアーム式,Vディスク式,ディスク式,215/45R17,215/45R17,ハイオク,40L,16.1km/L,○,,○,○,,分割可倒,○,○,○,,○,○,○(6),○,○,○,○,○,,,○,○,○,○,○,○,,○,○,,,○,○,△,○,○,○,,,○,○,○,○,○,,○,○,,,,○,,,,,,,○,○,,○,○,,,,○,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,4075mm,1750mm,1440mm,,,,http://img.carsensorlab.net/CSphoto/catalog/VW/S001/VW_S001_F004_M006_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/VW/S001/VW_S001_F004_M006_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/VW/S001/VW_S001_F004_M006_3_L.jpg,1,,,,,,,,,,,,,,,
ミニ,ミニクラブマン,クーパー S オール4 4WD,2019年10月～,3BA-LV20M,4WD,5人,5ドア,B48A20F,直列4気筒DOHC,ガソリン,,1998cc,ターボ,192ps/5000rpm,28.6kg・m/4600rpm,2670mm,1550kg,,5.5m,ストラット式,マルチリンク式,Vディスク式,ディスク式,225/45R17,225/45R17,ハイオク,48L,,○,,○,○,,分割可倒,,△,○,,△,○,○(6),○,○,○,○,○,,,○,○,○,○,○,○,△,○,○,,,○,○,,○,△,○,○,,,,○,,△,,,○,,,,○,,,△,△,,,○,○,△,○,△,○,△,△,,,△,,,,,△,,,○,,,,,,,,,,,,,,△,△,○,△,,,4275mm,1800mm,1470mm,,,,http://img.carsensorlab.net/CSphoto/catalog/MN/S003/MN_S003_F002_M003_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/MN/S003/MN_S003_F002_M003_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/MN/S003/MN_S003_F002_M003_3_L.jpg,1,,,,,,,,,,,,,,,
メルセデス・ベンツ,Bクラス,B200d AMGライン ディーゼルターボ,2019年10月～2020年03月,3DA-247012,FF,5人,5ドア,654,直列4気筒DOHC,ディーゼル,,1950cc,ターボ,150ps/4400rpm,32.6kg・m/3200rpm,2730mm,1560kg,120mm,5m,ストラット式,トーションビーム式,Vディスク式,ディスク式,225/45R18,225/45R18,軽油,43L,,○,○,○,○,,分割可倒,,○,○,,○,,○(6),,○,○,○,○,,,○,○,○,○,○,○,,○,○,,,○,○,△,△,○,○,○,○,,,○,○,○,,△,○,△,△,,△,,○,○,△,,,○,○,,○,○,○,○,△,,○,○,,○,,,○,,,○,,,,,,,,,○,,,,,△,,,,,,4430mm,1795mm,1550mm,,,,http://img.carsensorlab.net/CSphoto/catalog/ME/S002/ME_S002_F003_M002_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/ME/S002/ME_S002_F003_M002_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/ME/S002/ME_S002_F003_M002_3_L.jpg,1,,,,,,,,,,,,,,,
フォルクスワーゲン,パサートヴァリアント,TDI ハイライン ディーゼルターボ,2019年04月～2019年09月,LDA-3CDFC,FF,5人,5ドア,DFC,直列4気筒DOHC,ディーゼル,,1968cc,ターボ,190ps/4000rpm,40.8kg・m/3300rpm,2790mm,1610kg,130mm,5.4m,ストラット式,4リンク,Vディスク式,ディスク式,235/45R18,235/45R18,軽油,59L,20.6km/L,○,○,○,○,,分割可倒,○,○,○,,,○,○(8),○,○,○,○,○,○,,○,○,○,○,○,○,,○,○,,,○,○,○,○,○,○,○,,○,○,○,○,○,,○,○,△,△,,○,,○,○,○,,,○,○,,○,,,○,△,○,○,○,○,○,,,,,,○,,,,,,,,,○,,,,,△,○,,,○,,4775mm,1830mm,1510mm,,,,http://img.carsensorlab.net/CSphoto/catalog/VW/S015/VW_S015_F004_M005_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/VW/S015/VW_S015_F004_M005_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/VW/S015/VW_S015_F004_M005_3_L.jpg,1,,,,,,,,,,,,,,,
アルファ　ロメオ,ジュリア,2.9 V6 ビターボ クアドリフォリオ,2019年10月～2020年09月,ABA-95229,FR,4人,4ドア,670050436,V型6気筒DOHC,ガソリン,,2891cc,ターボ,510ps/6500rpm,61.2kg・m/2550rpm,2820mm,1710kg,,5.7m,ダブルウィッシュボーン,マルチリンク式,Vディスク式,Vディスク式,245/35ZR19,285/30ZR19,ハイオク,58L,,○,○,○,○,,分割可倒,,○,○,,○,,○(14),,○,○,○,○,,○,○,○,○,○,○,○,○,○,○,,,○,○,○,○,○,○,○,,,,○,○,○,,,○,,,,,,○,○,○,,○,○,,○,○,,,○,,,,○,○,,,,○,○,,,,,,,,,,,,,,,,,,,,○,○,4635mm,1865mm,1435mm,,,,http://img.carsensorlab.net/CSphoto/catalog/AF/S019/AF_S019_F002_M004_1_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/AF/S019/AF_S019_F002_M004_2_L.jpg,http://img.carsensorlab.net/CSphoto/catalog/AF/S019/AF_S019_F002_M004_3_L.jpg,1,,,,,,,,,,,,,,,
